name,true_hazardous,predicted_hazardous
(2013 DB),0,0
(2016 GM135),0,0
(2025 MZ),0,0
(2015 KT120),0,0
(2020 XR1),0,0
(2025 FR6),0,0
247517 (2002 QY6),0,0
(2015 MT59),0,0
(2024 GR),0,0
(2020 OG3),0,0
(2025 MR92),0,0
(2018 VP5),0,0
(2025 HR4),0,0
(2025 HP23),0,0
(2022 UY),0,0
(2024 UK5),0,0
(2025 OR2),0,0
(2025 CF1),0,0
(2022 SU7),0,0
(2017 SS10),0,0
(2015 VR1),0,0
(2025 QF4),0,0
(2024 TU20),0,0
(2025 OR4),0,0
(2024 TK21),0,0
(2025 PN7),0,0
(2022 ND),0,0
(2025 RL3),0,0
(2025 QS1),0,0
(2024 FA),0,0
(2025 FP),0,0
(2023 QM1),0,0
(2020 JF1),0,0
(2025 AH),0,0
(2025 HN1),0,0
(2025 HW2),0,0
(2018 AF12),0,0
(2019 VB5),0,0
(2025 DH15),0,0
(2025 OG),0,0
(2025 SK12),0,0
(2010 PW58),1,0
(2025 ON1),0,0
(2006 HV5),1,0
(2025 FN2),0,0
(2021 HR),0,0
(2023 OR3),0,0
(2021 XP3),0,0
(2025 DX2),0,0
(2025 OZ2),0,0
(2021 QK2),0,0
(2025 BG2),0,0
(2025 MS90),0,0
(2023 FT10),0,0
(2025 MV),0,0
(2002 VO85),0,0
162080 (1998 DG16),0,0
(2025 MH2),0,0
(2020 YY3),0,0
(2025 JS),0,0
(2025 AC3),0,0
(2014 UV34),0,0
(2023 EN),0,0
(2018 GC2),0,0
(2015 EZ6),0,0
(2025 FK12),0,0
(2018 RS1),0,0
(2025 DL25),0,0
(2022 FY),0,0
523605 (2004 RX10),0,1
(2024 CZ),0,0
(2025 KZ),0,0
(2025 PG3),0,0
(2022 AT3),0,0
(2025 FY11),0,0
(2025 FN20),0,0
(2019 UT8),0,0
(2023 BP6),0,0
(2025 DD25),0,0
(2025 DU3),0,0
(2025 SO27),0,0
(2021 UG1),0,0
(2019 YO),0,0
(2023 SK3),0,0
(2019 CN2),0,0
(2023 OW2),0,0
(2023 CS2),0,0
(2024 YR3),0,0
(2023 BD5),0,0
(2025 QC1),0,0
(2021 UT1),0,0
(2021 LJ4),0,0
(2025 JX),0,0
(2020 BS11),0,0
(2025 BA),0,0
(2019 VX1),0,0
(2016 RB1),0,0
(2025 SY21),0,0
(2025 GM1),0,0
(2024 CR5),0,0
(2017 VS14),0,0
(2015 XX377),0,0
(2025 FK14),0,0
(2025 FZ5),0,0
(2007 VD12),1,1
(2022 CD),0,0
(2011 EO40),1,0
(2025 NH3),1,1
(2006 VX2),0,0
(2025 FC),0,0
(2025 HS),0,0
(2022 TD),0,0
(2025 ST4),0,0
(2025 TD),0,0
(2025 MM89),1,1
(2019 BM2),0,0
(2022 UQ20),0,0
(2021 UR5),0,0
(2020 BP8),0,0
(2018 QT1),0,0
(2021 CO3),0,0
(2021 QH2),0,0
(2023 LO),0,0
(2025 FD6),0,0
(2024 VB),0,0
(2025 BH7),0,0
(2025 OS13),0,0
826387 (2020 KO3),1,1
(2024 ET3),0,0
(2025 FC8),0,0
(2025 NB1),0,0
(2025 DV),0,0
(2025 KL1),0,0
(2025 RW6),0,0
326290 Akhenaten (1998 HE3),1,1
(2024 SM3),0,0
(2018 MY6),1,1
(2019 DB2),0,0
(2025 FS10),0,0
(2025 QB4),0,0
(2016 CD137),0,0
(2020 BV9),0,0
(2025 JH2),0,0
(2025 QG),0,0
(2015 SO2),0,0
462238 (2008 CN1),1,0
(2024 PK3),0,0
(2025 OO13),0,0
(2017 UA),0,0
(2025 FE29),0,0
(2025 PM),0,0
(2020 TH6),0,0
(2022 OE5),0,0
(2022 WW2),0,0
(2024 YB10),0,0
(2014 TU),0,0
(2019 TY6),0,0
(2020 MA1),0,0
523809 (2007 TV18),0,0
(2021 VV10),0,0
(2024 YZ12),0,0
(2016 WF7),0,0
(2025 CE),0,0
(2009 HC),0,0
(2014 QN433),0,0
(2025 SS14),0,0
(2010 HX107),0,0
(2024 UJ5),0,0
(2018 VD8),0,0
(2023 YB),0,0
(2024 RE4),0,0
(2019 WC4),0,0
(2020 ER),0,0
(2025 DZ14),0,0
(2021 JX2),0,0
(2022 OT),0,0
(2023 HJ2),0,0
(2002 LD31),0,1
(2016 NC1),0,0
(2024 JJ17),0,0
(2025 AK2),1,0
(2023 SV1),0,0
(2025 QE12),0,0
(2015 KU121),0,0
(2022 AH2),0,0
(2022 GM1),0,0
(2025 NO1),0,0
(2022 QC31),0,0
(2025 QD12),0,0
(2019 VF1),0,0
(2025 KH),0,0
(2020 QR5),0,0
(2025 DL8),0,0
(2025 SC11),0,0
(2025 MQ),0,0
(2009 DO111),0,0
(2022 OQ),0,0
(2024 CG4),0,0
(2022 DO4),0,0
(2025 RC3),0,0
(2024 YA4),0,0
(2022 NX),0,0
(2020 NO),0,0
(2025 RF),0,0
(2000 LF3),1,1
(2020 XD5),1,0
(2025 OC13),0,0
(2025 MN88),0,0
(2023 QR1),0,0
(2023 FG),0,0
(2025 MR),0,0
(2017 WK13),0,0
(2022 YS5),0,0
(2018 GE2),0,0
(2024 UY43),0,0
(2019 UT6),1,0
(2022 EA3),0,0
(2022 GF4),0,0
(2021 LH6),0,0
(2022 KU3),0,0
(2024 SM4),0,0
(2009 UC),0,0
(2025 JC),0,0
(2025 SB21),0,0
(2025 SN23),0,0
(2023 BC2),0,0
(2025 HX2),0,0
(2022 UU15),0,0
(2025 RM3),0,0
(2019 QY4),0,0
(2016 SX1),0,0
(2012 SX49),0,0
(2022 QP3),0,0
(2025 JB2),0,0
(2025 DZ4),0,0
434051 (2001 UW16),0,0
(2002 GQ),0,0
(2025 KC4),0,0
(2023 HU3),0,0
(2024 YZ8),0,0
(2019 SU3),0,0
(2019 AO12),0,0
(2025 KS1),0,0
(2014 LZ20),0,0
(2019 LK6),0,0
(2021 UL1),0,0
(2017 DK34),0,0
(2022 SK37),0,0
(2005 QQ87),0,0
(2025 CJ4),0,0
(2025 SY1),0,0
(2021 AC2),0,0
138852 (2000 WN10),0,0
(2013 LB),0,0
529951 (2010 UD),1,0
(2024 AV),0,0
(2020 EO),0,0
(2024 RD7),0,0
(2021 SV1),0,0
(2020 BG5),0,0
(2022 UV24),0,0
(2021 PS16),0,0
(2025 DJ3),0,0
(2021 LA1),0,0
(2025 OE13),0,0
(2009 WW7),0,0
(2018 JN1),0,0
(2016 RB1),0,0
(2021 VQ10),0,0
(2023 DM),0,0
531944 (2013 CU83),1,1
(2025 NB),0,0
(2025 HA1),0,0
(2025 KZ3),0,0
(2025 NE),0,0
516155 (2016 DP),1,1
(2023 TP1),0,0
(2022 WF2),0,0
(2025 QD4),0,0
(2022 WS7),0,0
(2022 QD3),0,0
(2025 TR),0,0
(2007 TS19),1,0
(2020 SB),0,0
3361 Orpheus (1982 HR),1,1
(2016 GE1),0,0
(2025 OJ),0,0
(2021 VH2),0,0
(2020 WF5),0,0
(2025 HT6),0,0
(2014 LZ20),0,0
(2022 SW12),1,1
(2005 VO5),1,1
(2024 YV1),0,0
(2016 TZ19),0,0
(2014 FO47),1,1
(2022 ER2),0,0
263976 (2009 KD5),1,0
(2022 UE28),1,1
(2020 FM1),0,0
(2025 ST6),0,0
(2023 CD1),0,0
(2017 VU13),0,0
(2025 CM),0,0
(2023 BV5),0,0
(2025 QA1),0,0
(2020 SA),0,0
(2025 RP),0,0
(2025 HG1),0,0
(2025 DR6),0,0
(2016 AH65),0,0
(2025 OV),0,0
(2016 RQ41),0,0
(2021 GQ172),0,0
(2021 QN2),0,0
(2025 DQ3),0,0
(2025 DU25),0,0
(2023 EC),0,0
(2024 XP16),0,0
(2020 QO3),0,0
(2022 EH4),0,0
(2024 BZ3),0,0
(2025 QZ4),0,0
(2025 QG2),0,0
(2025 DM3),0,0
(2016 AK193),0,0
(2023 XP10),0,0
(2025 QA4),1,0
(2015 VK1),0,0
(2025 OX9),0,0
(2022 YG),0,0
(2023 VQ5),0,0
(2020 PP3),0,0
(2020 QL1),0,0
(2023 FF6),0,0
(2025 BM1),0,0
(2025 DY7),0,0
(2022 WT7),0,0
(2025 RZ4),0,0
(2013 RQ43),0,0
(2019 GF1),0,0
(2019 XQ),0,0
(2021 KH),0,0
(2024 RE),0,0
(2017 WN13),0,0
(2022 SF25),0,0
(2021 VF),0,0
(2021 TR3),0,0
(2019 YS),0,0
(2025 DF9),0,0
(2025 OD1),0,0
(2012 DO8),0,0
(2025 SZ27),0,0
(2025 OU),0,0
(2025 RK5),0,0
(2025 TJ1),0,0
(2023 KF5),0,0
(2023 TF1),0,0
(2023 JE2),0,0
(2018 BT1),0,0
(2024 UZ2),0,0
497232 (2005 EF),0,0
(2023 TH4),0,0
(2025 QG11),0,0
(2012 ML6),0,0
(2025 OQ1),0,0
(2022 VG),0,0
(2013 JV17),0,0
(2025 HO1),0,0
(2019 BZ4),0,0
(2022 OW3),0,0
(2010 EJ43),0,0
(2012 HG2),0,0
(2021 VK10),0,0
(2025 QV21),0,0
(2025 SP29),0,0
(2022 UW16),0,0
(2025 CK3),0,0
(2025 SJ15),0,0
(2021 VC9),0,0
(2025 SN12),0,0
(2025 PL2),0,0
