date,id,name,diameter_min_km,diameter_max_km,is_potentially_hazardous,close_approach_date,miss_distance_km,relative_velocity_kph
2025-01-14,54510159,(2024 YD6),0.0316632126,0.0708010957,False,2025-01-14,15073459.554870768,28401.6347542416
2025-01-14,54511085,(2024 YO7),0.0252670754,0.0564988982,False,2025-01-14,14088267.283646435,23828.5929841931
2025-01-14,54514034,(2025 AS),0.0350392641,0.0783501764,False,2025-01-14,6177886.150842808,33264.0462600217
2025-01-14,54516459,(2025 BA1),0.0080640828,0.0180318372,False,2025-01-14,274971.252192391,48460.088714035
2025-01-14,54517681,(2025 BL6),0.0817626533,0.1828268509,False,2025-01-14,14446569.725515127,71919.4665067535
2025-01-14,54517722,(2025 BU6),0.0308003021,0.0688715693,False,2025-01-14,4502777.25588909,31210.3437784152
2025-01-14,2803401,803401 (2015 NS13),0.2682594171,0.5998462923,False,2025-01-14,12016268.432879632,41574.809388969
2025-01-13,3102771,(2002 AL31),0.0334622374,0.0748238376,False,2025-01-13,21591690.628704485,41756.5699551389
2025-01-13,3360486,(2006 WE4),0.4411182,0.9863702813,False,2025-01-13,41747245.57999381,63365.5885506077
2025-01-13,3645650,(2013 PZ38),0.0421264611,0.0941976306,False,2025-01-13,53567479.527885884,25616.8558539439
2025-01-13,3792468,(2017 YH),0.6317641482,1.4126675811,False,2025-01-13,33497847.803687,43379.4686554519
2025-01-13,3797753,(2018 BV1),0.0366906138,0.0820427065,False,2025-01-13,73699997.4394205,71576.2324083794
2025-01-13,3986841,(2020 BK3),0.0110803882,0.0247765013,False,2025-01-13,13359180.581947302,29436.0947926279
2025-01-13,54100624,(2020 YH),0.1067959975,0.2388031102,False,2025-01-13,74778569.00029458,95782.5637812349
2025-01-13,54104721,(2021 AC2),0.0070235225,0.0157050737,False,2025-01-13,58199644.98384371,68139.94935519
2025-01-13,54110077,(2021 CR1),0.0253837029,0.0567596853,False,2025-01-13,44276604.4785502,41156.4829978177
2025-01-13,54239836,(2022 BB1),0.0252670754,0.0564988982,False,2025-01-13,51192538.27342472,95173.7045813348
2025-01-13,54256783,(2022 EE6),0.0330031183,0.0737972161,False,2025-01-13,5947881.639766284,31337.362577299
2025-01-13,54341644,(2023 CS3),0.0108781483,0.0243242791,False,2025-01-13,10178763.929182302,22616.5638687608
2025-01-13,54356994,(2023 HU5),0.0081013049,0.0181150684,False,2025-01-13,36898816.0127613,26878.7249033359
2025-01-13,54514246,(2025 AE1),0.0956213733,0.2138158908,False,2025-01-13,22691127.158019576,75747.6928215194
2025-01-13,54515077,(2025 AX2),0.0111829138,0.0250057554,False,2025-01-13,3151350.085819741,37408.7466359755
